language,rows,mean_manipulative_score,manipulative_rate,review_rate,manipulative_count,review_count
ar,76740,0.5499278017341827,0.5700677612718269,0.03445400052124055,43747,2644
ko,3101,0.31488457298094286,0.344727507255724,0.035794904869396967,1069,111
th,2191,0.3007755710457297,0.33820173436786855,0.04472843450479233,741,98
zh,21333,0.28933623255833074,0.341208456382131,0.06478226222284723,7279,1382
am,115,0.28366047403086786,0.40869565217391307,0.06956521739130435,47,8
mr,381,0.26776582612766053,0.37270341207349084,0.08661417322834646,142,33
hi,10907,0.24775585516613716,0.319977995782525,0.0790318144310993,3490,862
ur,3033,0.2248970331078192,0.2993735575337949,0.09693372898120672,908,294
sd,57,0.20730242812842653,0.22807017543859648,0.017543859649122806,13,1
bn,1845,0.19326662048091733,0.24336043360433604,0.06504065040650407,449,120
kn,154,0.19197248483633067,0.17532467532467533,0.37662337662337664,27,58
fa,15757,0.1912131166975609,0.23126229612235832,0.05451545344926065,3644,859
ja,116825,0.18436350749183358,0.21300235394821315,0.03957200941579285,24884,4623
en,3654695,0.16496617907844757,0.19978411331178114,0.04282737683992782,730150,156521
nl,12359,0.1625678971203624,0.2073792378024112,0.059632656363783475,2563,737
ku,99,0.16187282523723565,0.1919191919191919,0.09090909090909091,19,9
ky,21,0.15005288805280412,0.19047619047619047,0.047619047619047616,4,1
jv,99,0.1489242206920277,0.1919191919191919,0.030303030303030304,19,3
de,90033,0.144993513597796,0.19056346006464298,0.05928937167483034,17157,5338
si,164,0.14329897485128262,0.16463414634146342,0.04878048780487805,27,8
he,3129,0.1423331446905188,0.18728028124001278,0.06391818472355384,586,200
tt,50,0.14036666870117187,0.1,0.42,5,21
fr,141005,0.14023188008031484,0.18409985461508457,0.055700152476862524,25959,7854
tr,65807,0.12839482600012847,0.16068199431671404,0.054781406233379425,10574,3605
vi,1815,0.12676663832231003,0.14600550964187328,0.03911845730027548,265,71
cs,2842,0.12078037436456432,0.16220971147079521,0.055946516537649545,461,159
eu,481,0.11990803542107406,0.1600831600831601,0.06444906444906445,77,31
so,69,0.11699615699657495,0.2028985507246377,0.18840579710144928,14,13
sl,1074,0.11531026669720698,0.1610800744878957,0.049348230912476726,173,53
pl,11852,0.11423648775649803,0.15035437057036788,0.04708066149173135,1782,558
ru,37795,0.11383017787133469,0.1449398068527583,0.04839264452969969,5478,1829
id,8689,0.11296162631078424,0.12912878351939233,0.03187938773161469,1122,277
mn,62,0.11156317495530652,0.14516129032258066,0.08064516129032258,9,5
ps,86,0.11126161176104878,0.11627906976744186,0.011627906976744186,10,1
ne,97,0.10502824095106617,0.15463917525773196,0.10309278350515463,15,10
sv,8588,0.10299027160427766,0.13367489520260828,0.03993945039590126,1148,343
uk,6086,0.10066591200764305,0.12668419323036478,0.045349983568846536,771,276
kk,71,0.10060490353006712,0.1267605633802817,0.014084507042253521,9,1
el,3170,0.10003938915601664,0.12649842271293377,0.05867507886435331,401,186
ms,860,0.09928442932838617,0.10813953488372093,0.046511627906976744,93,40
no,2035,0.09884509243601956,0.12727272727272726,0.044226044226044224,259,90
da,3721,0.09715204179943714,0.1332975006718624,0.04568664337543671,496,170
sw,1090,0.09614018256511163,0.12385321100917432,0.06513761467889909,135,71
ml,348,0.09308861041891164,0.11494252873563218,0.07471264367816093,40,26
fi,5392,0.09094568759821997,0.11869436201780416,0.04265578635014837,640,230
hy,130,0.09028873443603516,0.13076923076923078,0.1076923076923077,17,14
az,542,0.08892024839056374,0.11254612546125461,0.05166051660516605,61,28
ro,2224,0.08820359612540375,0.11510791366906475,0.049010791366906475,256,109
ca,4568,0.08645716648803284,0.11164623467600701,0.04115586690017513,510,188
es,373443,0.08636109820898326,0.11013193445853851,0.039909705095556754,41128,14904
be,74,0.08529607669727222,0.0945945945945946,0.05405405405405406,7,4
gu,39,0.08467703599196214,0.07692307692307693,0.05128205128205128,3,2
sr,4170,0.08068284370916352,0.10431654676258993,0.04844124700239808,435,202
ta,574,0.08065618455202322,0.09930313588850175,0.04355400696864112,57,25
gd,21,0.08040028526669457,0.09523809523809523,0.047619047619047616,2,1
it,45560,0.07917011349320516,0.10081211589113258,0.04225197541703248,4593,1925
sk,961,0.07634946880677984,0.09365244536940687,0.03537981269510926,90,34
oc,176,0.07534089413556186,0.07386363636363637,0.011363636363636364,13,2
pt,235810,0.07476148858516657,0.0927017514100335,0.031033459140833723,21860,7318
tl,1694,0.07366675272179325,0.08913813459268005,0.043683589138134596,151,74
uz,160,0.07263875603675843,0.06875,0.0375,11,6
lv,633,0.0713538385303853,0.08688783570300158,0.036334913112164295,55,23
et,498,0.07100098391613328,0.08835341365461848,0.05622489959839357,44,28
hu,5080,0.07004320583944246,0.08818897637795275,0.03562992125984252,448,181
bg,1384,0.0658594831565901,0.08959537572254335,0.03251445086705202,124,45
my,28,0.06545908110482353,0.10714285714285714,0.07142857142857142,3,2
bs,224,0.06280825393540519,0.07589285714285714,0.026785714285714284,17,6
gl,963,0.06245957034894363,0.07165109034267912,0.032191069574247146,69,31
cy,187,0.0620158394390249,0.06417112299465241,0.0481283422459893,12,9
sq,726,0.061016243022992266,0.081267217630854,0.045454545454545456,59,33
af,138,0.05942264501599298,0.07246376811594203,0.07246376811594203,10,10
hr,2208,0.05893801563027976,0.0756340579710145,0.03215579710144927,167,71
eo,1532,0.05776519812740794,0.06331592689295039,0.028720626631853787,97,44
la,486,0.052551285229592654,0.05555555555555555,0.030864197530864196,27,15
qu,31,0.049982809251354586,0.03225806451612903,0.0,1,0
nn,113,0.04950016156762047,0.05309734513274336,0.008849557522123894,6,1
is,237,0.04826544910543579,0.05485232067510549,0.02531645569620253,13,6
ht,81,0.04775793758439429,0.06172839506172839,0.07407407407407407,5,6
mk,625,0.046715690612792966,0.0592,0.0272,37,17
