primary_theme,rows,mean_manipulative_score,manipulative_rate,review_rate,manipulative_count,review_count
Cryptocurrency,223083,0.6199333091242645,0.68067042311606,0.04920590094269846,151846,10977
Politics,664663,0.3889196452500781,0.5042389902853025,0.09758780013330064,335149,64863
Investing,88018,0.23312177174623716,0.27500056806562295,0.04938762525846986,24205,4347
Finance,119569,0.14472783761876742,0.1825389524040512,0.04880027431859429,21826,5835
Social,258947,0.13800446052534918,0.17229394432065248,0.04698644896445991,44615,12167
Technology,538448,0.13512121766926974,0.1564162184649214,0.03321212076189344,84222,17883
,39604,0.13251367386826698,0.16879608120391879,0.04714170285829714,6685,1867
Economy,81344,0.11639377406785846,0.14618164830841857,0.04344512195121951,11891,3534
Law,69639,0.11255816681767564,0.14635477246944958,0.05884633610476888,10192,4098
Science,178139,0.09776322248298032,0.12210689405464273,0.04926489988155317,21752,8776
Health,202684,0.09176155722883986,0.10998401452507352,0.03450198338300014,22292,6993
Sports,395361,0.0870089812359567,0.09543935795387001,0.025928202326481367,37733,10251
Business,147685,0.083731622073098,0.1026238277414768,0.029515522903476994,15156,4359
People,798344,0.08072242443144388,0.10175438156984959,0.03561873077269949,81235,28436
Entertainment,920810,0.0666957457622965,0.07465383738230472,0.025125704542739543,68742,23136
Environment,278475,0.0619048372407888,0.07132417631744321,0.02774037166711554,19862,7725
